#{"t_start": 1713596722.1944218, "env_id": "SuperMarioBros2-v1"}
r,l,t
166.0,207,3.836444
56.0,2482,34.042936
197.0,538,40.925324
153.0,1184,56.431039
272.0,932,69.482486
192.0,353,74.367099
139.0,326,79.117636
120.0,129,80.975102
151.0,207,84.131541
212.0,290,88.348215
216.0,229,91.682857
243.0,576,99.966013
91.0,100,101.577863
333.0,456,108.125236
52.0,61,109.19752
336.0,407,115.232029
246.0,256,118.930502
253.0,312,123.467048
125.0,677,132.960471
236.0,289,137.101442
138.0,1979,164.146389
158.0,274,168.159863
92.0,1394,188.355767
310.0,782,200.711428
357.0,504,208.317914
175.0,581,217.091982
389.0,471,224.171124
226.0,785,235.173075
171.0,200,238.138965
178.0,277,241.927724
268.0,292,245.483065
243.0,309,249.427092
189.0,200,252.065925
213.0,304,255.987885
64.0,83,257.358648
319.0,397,262.487949
315.0,347,266.87484
305.0,323,271.064454
287.0,361,275.748087
-233.0,2476,302.428763
-264.0,2460,329.609948
